2013-06-20 03:41:52+0200 [scrapy] INFO: Scrapy 0.16.5 started (bot: dame_post)
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, LogStats, TelnetConsole, CloseSpider, WebService, CoreStats, SpiderState
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, ChunkedTransferMiddleware, DownloaderStats
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Enabled item pipelines: DamePostPipeline
2013-06-20 03:41:52+0200 [dame_post] INFO: Spider opened
2013-06-20 03:41:52+0200 [dame_post] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Telnet console listening on 0.0.0.0:6023
2013-06-20 03:41:52+0200 [scrapy] DEBUG: Web service listening on 0.0.0.0:6080
2013-06-20 03:41:53+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/> (referer: None)
2013-06-20 03:41:54+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/2/> (referer: http://osl.ugr.es/)
2013-06-20 03:41:55+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/3/> (referer: http://osl.ugr.es/page/2/)
2013-06-20 03:41:56+0200 [dame_post] DEBUG: Redirecting (301) to <GET http://osl.ugr.es/page/3/%20http:/www.flickr.com/photos/atalaya/sets/72157633440395108/> from <GET http://osl.ugr.es/page/3/%20http://www.flickr.com/photos/atalaya/sets/72157633440395108/>
2013-06-20 03:41:56+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/3/%20http:/www.flickr.com/photos/atalaya/sets/72157633440395108/> (referer: http://osl.ugr.es/page/3/)
2013-06-20 03:41:56+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/4/> (referer: http://osl.ugr.es/page/3/)
2013-06-20 03:41:57+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/5/> (referer: http://osl.ugr.es/page/4/)
2013-06-20 03:41:57+0200 [dame_post] DEBUG: Crawled (404) <GET http://osl.ugr.es/page/5/www.cocoroco.es> (referer: http://osl.ugr.es/page/5/)
2013-06-20 03:41:58+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/6/> (referer: http://osl.ugr.es/page/5/)
2013-06-20 03:41:59+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/7/> (referer: http://osl.ugr.es/page/6/)
2013-06-20 03:42:00+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/8/> (referer: http://osl.ugr.es/page/7/)
2013-06-20 03:42:00+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/9/> (referer: http://osl.ugr.es/page/8/)
2013-06-20 03:42:01+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/10/> (referer: http://osl.ugr.es/page/9/)
2013-06-20 03:42:02+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/11/> (referer: http://osl.ugr.es/page/10/)
2013-06-20 03:42:03+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/12/> (referer: http://osl.ugr.es/page/11/)
2013-06-20 03:42:04+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/13/> (referer: http://osl.ugr.es/page/12/)
2013-06-20 03:42:05+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/14/> (referer: http://osl.ugr.es/page/13/)
2013-06-20 03:42:06+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/15/> (referer: http://osl.ugr.es/page/14/)
2013-06-20 03:42:07+0200 [dame_post] DEBUG: Crawled (200) <GET http://osl.ugr.es/page/16/> (referer: http://osl.ugr.es/page/15/)
